TIME_PERIOD,value
2012-03-13,2.5620654604672666
2012-03-14,2.6290455275011446
2012-03-15,2.675380957257725
2012-03-16,2.7646803649572007
2012-03-19,2.733106361484901
2012-03-20,2.746433139573836
2012-03-21,2.7115337390040475
2012-03-22,2.690367352162947
2012-03-23,2.6437066843915917
2012-03-26,2.672746380010075
2012-03-27,2.6693254061263785
2012-03-28,2.663937932037024
2012-03-29,2.637661978109766
2012-03-30,2.599159047720721
2012-04-02,2.5681356121319627
2012-04-03,2.584466026960404
2012-04-04,2.587506138682122
2012-04-05,2.6030251279535337
2012-04-10,2.578627446491521
2012-04-11,2.565909843599732
2012-04-12,2.5217971864425754
2012-04-13,2.515501259071657
2012-04-16,2.542797662181626
2012-04-17,2.5543408572655286
2012-04-18,2.5419764621385035
2012-04-19,2.5501010254251453
2012-04-20,2.600919560278496
2012-04-23,2.589308734104515
2012-04-24,2.568783717660483
2012-04-25,2.555326701520088
2012-04-26,2.5511223670239653
2012-04-27,2.5015951438904587
2012-04-30,2.4710951007504747
2012-05-02,2.4526398095428803
2012-05-03,2.437547225519639
2012-05-04,2.3957294095856447
2012-05-07,2.369283266581035
2012-05-08,2.3295144695999968
2012-05-09,2.3529011438214216
2012-05-10,2.345025857380266
2012-05-11,2.295206461299484
2012-05-14,2.2319950655618213
2012-05-15,2.258494490906342
2012-05-16,2.282477021712946
2012-05-17,2.238954777135339
2012-05-18,2.223842312422965
2012-05-21,2.2326231796777245
2012-05-22,2.230200647215032
2012-05-23,2.1693351159392917
2012-05-24,2.070716103331642
2012-05-25,2.0531305471501677
2012-05-28,2.057175598411469
2012-05-29,2.0454600953438646
2012-05-30,2.0032349449728377
2012-05-31,1.887070048749857
2012-06-01,1.7643269681171851
2012-06-04,1.839347640208894
2012-06-05,1.8418369101132024
2012-06-06,1.945173785227712
2012-06-07,2.080571952035114
2012-06-08,2.031280180671714
2012-06-11,2.075625751579791
2012-06-12,2.1787557110727764
2012-06-13,2.222763170072655
2012-06-14,2.2117702300127995
2012-06-15,2.154030010038835
2012-06-18,2.139526608835416
2012-06-19,2.2138302280588134
2012-06-20,2.292738173177847
2012-06-21,2.238722716987676
2012-06-22,2.246035692390356
2012-06-25,2.184347782537981
2012-06-26,2.230781818043341
2012-06-27,2.252352331208645
2012-06-28,2.2440212040039063
2012-06-29,2.3157381116667404
2012-07-02,2.2484231186863246
2012-07-03,2.2087471685475126
2012-07-04,2.1662094860669194
2012-07-05,2.1072562239761847
2012-07-06,2.003005279445192
2012-07-09,2.014189132363997
2012-07-10,2.0089099878406023
2012-07-11,1.949220047807657
2012-07-12,1.922705039265056
2012-07-13,1.906849993546083
2012-07-16,1.8627423318169152
2012-07-17,1.8369547363347856
2012-07-18,1.8222266606946835
2012-07-19,1.8148893658651
2012-07-20,1.7686139235203902
2012-07-23,1.8188432998623
2012-07-24,1.9211489858392932
2012-07-25,1.9451192054667832
2012-07-26,1.9267196743711252
2012-07-27,1.964219059742864
2012-07-30,1.9477680113084317
2012-07-31,1.8714631615426764
2012-08-01,1.8964561206172887
2012-08-02,1.8292068083635569
2012-08-03,1.8445073416963675
2012-08-06,1.902704616763724
2012-08-07,1.9589184706114529
2012-08-08,1.9144032236906647
2012-08-09,1.9055433701369493
2012-08-10,1.8497605761535567
2012-08-13,1.9285527138409888
2012-08-14,1.9301778761388133
2012-08-15,1.98905677590687
2012-08-16,1.984607915504899
2012-08-17,1.9943856403831168
2012-08-20,1.9902303195856528
2012-08-21,2.021034967578066
2012-08-22,1.9670699871561383
2012-08-23,1.901171788639627
2012-08-24,1.8494080607701056
2012-08-27,1.8697312168339524
2012-08-28,1.870432846329923
2012-08-29,1.91678588164699
2012-08-30,1.895506325514677
2012-08-31,1.9144413984542303
2012-09-03,1.9092277661428945
2012-09-04,1.9478988418147267
2012-09-05,1.967705468661688
2012-09-06,2.0333913516099864
2012-09-07,2.022050771511624
2012-09-10,2.0471043986853443
2012-09-11,2.024343228396053
2012-09-12,2.082241613626256
2012-09-13,2.0098484367156484
2012-09-14,2.119991533908986
2012-09-17,2.11700488242845
2012-09-18,2.0759587894569425
2012-09-19,2.076310887840874
2012-09-20,2.0666561420492364
2012-09-21,2.0739367776844126
2012-09-24,2.0603825256904718
2012-09-25,2.0436021195220606
2012-09-26,1.9709385895459937
2012-09-27,1.958805443959852
2012-09-28,1.9401481093651816
2012-10-01,1.9691375447354416
2012-10-02,1.9664867746660333
2012-10-03,1.9537969260897248
2012-10-04,1.975094333706882
2012-10-05,2.011333230616128
2012-10-08,1.985941834231122
2012-10-09,1.9797832231262535
2012-10-10,1.9560957559046424
2012-10-11,1.9518700128544648
2012-10-12,1.9204984467629016
